x,"RST 999,80 kWh","R 381,32 kWh","S 284,69 kWh","T 333,79 kWh",Evento
2024-10-19T00:00-03:00[America/Argentina/Buenos_Aires],20.2230951,7.2643647,6.5870305,6.3716999,0
2024-10-19T01:00-03:00[America/Argentina/Buenos_Aires],15.074891699999998,5.6456116,5.5254676,3.9038125,0
2024-10-19T02:00-03:00[America/Argentina/Buenos_Aires],15.9333127,5.7553085,6.2155705,3.9624337,0
2024-10-19T03:00-03:00[America/Argentina/Buenos_Aires],15.9188023,5.7756226,6.1018109,4.0413688,0
2024-10-19T04:00-03:00[America/Argentina/Buenos_Aires],13.459041200000001,4.8812167,4.9439006,3.6339239,0
2024-10-19T05:00-03:00[America/Argentina/Buenos_Aires],12.725407599999999,4.5120783,4.7575903,3.455739,0
2024-10-19T06:00-03:00[America/Argentina/Buenos_Aires],17.337315,6.2178921,6.6973075,4.4221154,0
2024-10-19T07:00-03:00[America/Argentina/Buenos_Aires],21.4669053,8.1053732,7.393795,5.9677371,0
2024-10-19T08:00-03:00[America/Argentina/Buenos_Aires],23.0682462,8.21507,7.6851591,7.1680171,0
2024-10-19T09:00-03:00[America/Argentina/Buenos_Aires],21.869127,8.6596612,6.8545978,6.354868,0
2024-10-19T10:00-03:00[America/Argentina/Buenos_Aires],22.0891011,7.952146,6.1993192,7.9376359,0
2024-10-19T11:00-03:00[America/Argentina/Buenos_Aires],20.6467914,7.666586,5.2370058,7.7431996,0
2024-10-19T12:00-03:00[America/Argentina/Buenos_Aires],23.8668854,10.440928,5.4691681,7.9567893,0
2024-10-19T13:00-03:00[America/Argentina/Buenos_Aires],23.9655541,10.1878708,6.022295,7.7553883,0
2024-10-19T14:00-03:00[America/Argentina/Buenos_Aires],23.6231148,10.3811461,5.6102069,7.6317618,0
2024-10-19T15:00-03:00[America/Argentina/Buenos_Aires],26.5326909,11.1437994,6.3258478,9.0630437,0
2024-10-19T16:00-03:00[America/Argentina/Buenos_Aires],29.908913400000003,12.0527156,7.1395771,10.7166207,0
2024-10-19T17:00-03:00[America/Argentina/Buenos_Aires],32.693701600000004,12.7381746,7.964915,11.990612,0
2024-10-19T18:00-03:00[America/Argentina/Buenos_Aires],34.0396634,13.3603698,8.809406,11.8698876,0
2024-10-19T19:00-03:00[America/Argentina/Buenos_Aires],34.2114639,14.2483916,8.1976578,11.7654145,0
2024-10-19T20:00-03:00[America/Argentina/Buenos_Aires],31.108612800000003,12.7712581,7.9045525,10.4328022,0
2024-10-19T21:00-03:00[America/Argentina/Buenos_Aires],33.3356315,12.8130473,9.5842483,10.9383359,0
2024-10-19T22:00-03:00[America/Argentina/Buenos_Aires],36.4048187,12.7602305,11.5587898,12.0857984,0
2024-10-19T23:00-03:00[America/Argentina/Buenos_Aires],30.0064228,10.1948358,9.7456015,10.0659855,0
2024-10-20T00:00-03:00[America/Argentina/Buenos_Aires],25.2807546,7.9399573,8.2110071,9.1297902,0
2024-10-20T01:00-03:00[America/Argentina/Buenos_Aires],22.5029307,7.0960468,7.1134589,8.293425,0
2024-10-20T02:00-03:00[America/Argentina/Buenos_Aires],19.6670653,6.5928345,6.6746717,6.3995591,0
2024-10-20T03:00-03:00[America/Argentina/Buenos_Aires],17.8399466,6.0768535,5.9004098,5.8626833,0
2024-10-20T04:00-03:00[America/Argentina/Buenos_Aires],14.3818866,5.6473527,4.6960671,4.0384668,0
2024-10-20T05:00-03:00[America/Argentina/Buenos_Aires],12.851936,5.164455,4.1011507,3.5863303,0
2024-10-20T06:00-03:00[America/Argentina/Buenos_Aires],15.704052,5.7367354,5.173161,4.7941556,0
2024-10-20T07:00-03:00[America/Argentina/Buenos_Aires],20.3078343,7.8616026,6.4088457,6.037386,0
2024-10-20T08:00-03:00[America/Argentina/Buenos_Aires],20.409985499999998,7.4913033,6.0547979,6.8638843,0
2024-10-20T09:00-03:00[America/Argentina/Buenos_Aires],22.2225943,8.5197833,5.8580402,7.8447708,0
2024-10-20T10:00-03:00[America/Argentina/Buenos_Aires],28.059739800000003,11.3614519,7.0258175,9.6724704,0
2024-10-20T11:00-03:00[America/Argentina/Buenos_Aires],26.1536859,11.0764725,5.9944358,9.0827776,0
2024-10-20T12:00-03:00[America/Argentina/Buenos_Aires],26.1815453,11.3968568,5.8336633,8.9510252,0
2024-10-20T13:00-03:00[America/Argentina/Buenos_Aires],30.1120552,12.1769223,6.4576,11.4775329,0
2024-10-20T14:00-03:00[America/Argentina/Buenos_Aires],32.9188993,12.4996278,8.3328926,12.0863789,0
2024-10-20T15:00-03:00[America/Argentina/Buenos_Aires],36.8412835,13.3969356,9.7566289,13.687719,0
2024-10-20T16:00-03:00[America/Argentina/Buenos_Aires],38.9940114,13.9233644,9.9806656,15.0899814,0
2024-10-20T17:00-03:00[America/Argentina/Buenos_Aires],9.8605214,3.6217349,2.5845489,3.6542376,0
2024-10-20T18:00-03:00[America/Argentina/Buenos_Aires],0,0,0,0,
2024-10-20T19:00-03:00[America/Argentina/Buenos_Aires],0,0,0,0,
2024-10-20T20:00-03:00[America/Argentina/Buenos_Aires],0,0,0,0,
2024-10-20T21:00-03:00[America/Argentina/Buenos_Aires],0,0,0,0,
2024-10-20T22:00-03:00[America/Argentina/Buenos_Aires],0,0,0,0,
2024-10-20T23:00-03:00[America/Argentina/Buenos_Aires],0,0,0,0,
